"Id";"Designador";"Footprint";"Quantidade";"Designação";"Fornecedor e referência";
1;"SW5,SW7,SW2,SW1,SW6,RST1,SW8,SW3,SW4";"SW_PUSH_6mm_H9.5mm";9;"SW_Push";;;
2;"C23";"C_Radial_D4.0mm_H5.0mm_P1.50mm";1;"10uF/16V";;;
3;"U9,U90";"DIP-28_W15.24mm_Socket";2;"HM62256BLP";;;
4;"R37,R17,R56,R34,R57,R60,R52,R42,R38,R51,R31,R55,R50,R39,R59,R16,R58,R32,R41,R36,R49,R53,R40,R33,R35,R54";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";26;"1k";;;
5;"R20,R21,R10,R15,R11,R47,R45,R7,R12,R14,R30,R46,R13,R25,R9,R23,R28,R22,R24,R27,R26,R29,R8,R48";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";24;"2k";;;
6;"D2,D10,D12,D6,D11,D7,D3,D5,D4,D8,D9";"LED_D3.0mm_FlatTop";11;"LED";;;
7;"C12,C11,C2,C8,C17,C99,C97,C9,C90,C19,C22,C18,C10,C7,C1,C4,C20,C5,C91,C15,C16";"C_Disc_D3.8mm_W2.6mm_P2.50mm";21;"100nF";;;
8;"CN1";"BarrelJack_Horizontal";1;"Barrel_Jack_MountingPin";;;
9;"U5,U11";"DIP-20_W7.62mm_Socket";2;"74LS273";;;
10;"R19";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"5k6";;;
11;"C6";"C_Radial_D5.0mm_H7.0mm_P2.00mm";1;"100uF/16V";;;
12;"C13";"C_Disc_D3.8mm_W2.6mm_P2.50mm";1;"10nF";;;
13;"J7,J12,J10,J8";"PinHeader_1x03_P2.54mm_Vertical";4;"Conn_01x03";;;
14;"J5,J11,J6,J2";"PinHeader_1x08_P2.54mm_Vertical";4;"Conn_01x08";;;
15;"R44,R43";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";2;"22R";;;
16;"U18";"DIP-28_W15.24mm_Socket";1;"KM28C64A";;;
17;"U93";"DIP-14_W7.62mm_Socket";1;"74LS08";;;
18;"RV1";"Potentiometer_Alps_RK163_Single_Horizontal";1;"10k";;;
19;"R61,R3,R2,R4,R6,R5,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";7;"10k";;;
20;"U4";"DIP-14_W7.62mm_Socket";1;"4093";;;
21;"R18";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"1M";;;
22;"U91,U3";"DIP-16_W7.62mm_Socket";2;"74LS138";;;
23;"RN1";"R_Array_SIP9";1;"10k";;;
24;"C3";"C_Radial_D4.0mm_H5.0mm_P1.50mm";1;"33uF/16V";;;
25;"P1";"Potentiometer_Bourns_3386F_Vertical";1;"100k";;;
26;"X1";"Crystal_HC18-U_Vertical";1;"4MHz";;;
27;"U13";"YP-8";1;"YP-8";;;
28;"D1";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4148";;;
29;"J9";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Socket";;;
30;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"Speaker";;;
31;"U15,U16";"DIP-16_W7.62mm";2;"74HC595";;;
32;"J13";"PinHeader_2x04_P2.54mm_Vertical";1;"Conn_01x08";;;
33;"J1";"PinHeader_2x08_P2.54mm_Vertical";1;"Conn_01x16";;;
34;"U97,U7";"DIP-14_W7.62mm_Socket";2;"74LS32";;;
35;"U1";"DIP-40_W15.24mm_Socket";1;"Z84C00xxP";;;
36;"C21";"C_Radial_D5.0mm_H7.0mm_P2.00mm";1;"10uF";;;
37;"U6";"DIP-20_W7.62mm_Socket";1;"74LS245";;;
38;"U10";"DIP-14_W7.62mm_Socket";1;"74HC04";;;
39;"J4";"Mini Din 6P";1;"MINI DIN 6";;;
40;"U19";"TANG_NANO_9K";1;"TANG NANO 9K";;;
41;"U12,U8";"LVL-SHFT-8CH";2;"LVL-SHFT-8CH";;;
42;"C14";"C_Disc_D3.8mm_W2.6mm_P2.50mm";1;"47pF";;;
43;"Q1";"TO-92_Inline";1;"BC337";;;
44;"U2";"DIP_Socket-28_W11.9_W12.7_W15.24_W17.78_W18.5_3M_228-1277-00-0602J";1;"~";;;
45;"LCD1";"RC1602A";1;"LCD16X2";;;
46;"U17";"FTDI-ADAPTER";1;"FTDI USB ADAPTER";;;
47;"U99";"DIP-14_W7.62mm_Socket";1;"74LS74";;;
